anno,img,label
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/33-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/33-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/40-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/40-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/54-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/54-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/44-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/44-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/13-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/13-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/25-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/25-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/4-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/21-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/21-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/39-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/88-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/88-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/35-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/35-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/81-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/81-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/73-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/73-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/70-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/70-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/77-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/77-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/31-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/31-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/80-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/80-1.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/0-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/0-1.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/30-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/75-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/75-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/87-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/87-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/45-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/45-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/90-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/90-0.png,urdhva mukha svanasana
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/urdhva mukha svanasana/20-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/urdhva mukha svanasana/20-0.png,urdhva mukha svanasana
