,anno,img,label
154,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/33-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/33-0.png,upavistha konasana
155,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/47-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/47-0.png,upavistha konasana
156,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/7-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/7-0.png,upavistha konasana
157,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/42-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/42-0.png,upavistha konasana
158,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/19-0.png,upavistha konasana
159,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/13-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/13-0.png,upavistha konasana
160,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/25-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/25-0.png,upavistha konasana
161,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/56-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/56-0.png,upavistha konasana
162,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/4-0.png,upavistha konasana
163,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/39-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/39-0.png,upavistha konasana
164,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/74-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/74-0.png,upavistha konasana
165,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/35-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/35-0.png,upavistha konasana
166,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/81-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/81-0.png,upavistha konasana
167,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/77-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/77-0.png,upavistha konasana
168,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/38-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/38-0.png,upavistha konasana
169,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/69-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/69-0.png,upavistha konasana
170,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/34-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/34-0.png,upavistha konasana
171,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/30-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/30-0.png,upavistha konasana
172,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/45-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/45-0.png,upavistha konasana
173,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/20-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/20-0.png,upavistha konasana
174,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/48-0.png,upavistha konasana
175,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/23-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/23-0.png,upavistha konasana
176,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/41-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/41-0.png,upavistha konasana
177,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/36-0.png,upavistha konasana
178,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/24-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/24-0.png,upavistha konasana
179,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/61-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/61-1.png,upavistha konasana
180,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/2-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/2-0.png,upavistha konasana
181,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/27-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/27-0.png,upavistha konasana
182,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/37-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/37-0.png,upavistha konasana
183,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/9-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/9-0.png,upavistha konasana
184,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/67-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/67-0.png,upavistha konasana
185,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/66-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/66-0.png,upavistha konasana
186,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/11-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/11-0.png,upavistha konasana
187,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/82-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/82-0.png,upavistha konasana
188,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/50-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/50-0.png,upavistha konasana
189,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/16-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/16-0.png,upavistha konasana
190,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/96-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/96-1.png,upavistha konasana
191,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/18-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/18-0.png,upavistha konasana
192,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/upavistha konasana/5-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_images/upavistha konasana/5-0.png,upavistha konasana
