keys_0_anno,keys_1_anno,keys_2_anno,score_0,score_1,score_2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/0-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/10-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/16-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/9-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/12-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/28-0.txt,2,1,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/62-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/97-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/7-0.txt,1,0,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/63-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/6-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/41-0.txt,0,2,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/48-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/4-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/58-0.txt,0,1,2
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/22-1.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/1-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/64-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/73-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/86-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/56-0.txt,1,2,0
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/36-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/51-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/94-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/19-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/34-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/49-0.txt,2,0,1
/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/95-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/18-0.txt,/hpctmp/e0703350_yoga/datas/datasets_1/yoga_anno/salamba sarvangasana/84-0.txt,2,1,0
